Id,Title,Type,Release_year,Runtime,Genres
tm89557,The Kid from Brooklyn,MOVIE,1946,113,comedy
tm5718,Under Western Stars,MOVIE,1938,65,western
tm231186,Fighting Mad,MOVIE,1939,60,western
tm3207,Hearts of Humanity,MOVIE,1932,56,drama
tm108385,The Kansan,MOVIE,1943,79,romance
tm88242,Bells of San Angelo,MOVIE,1947,74,western
tm89625,Dick Tracy Meets Gruesome,MOVIE,1947,65,thriller
tm137407,"Dance, Girl, Dance",MOVIE,1933,74,music
tm67087,Springtime in the Rockies,MOVIE,1937,60,western
tm111056,Riders of the Deadline,MOVIE,1943,70,western
tm115997,The Bold Caballero,MOVIE,1936,67,western
tm66425,Rhythm in the Clouds,MOVIE,1937,62,comedy
tm76257,British Intelligence,MOVIE,1940,61,action
tm8756,Tarzan and the Green Goddess,MOVIE,1938,72,action
tm213897,Western Mail,MOVIE,1942,54,western
tm110887,Man from Music Mountain,MOVIE,1943,71,western
tm68711,When's Your Birthday?,MOVIE,1937,75,comedy
tm95443,Monte Carlo Nights,MOVIE,1934,62,thriller
tm17996,To the Shores of Iwo Jima,MOVIE,1945,20,documentation
tm110556,Submarine Alert,MOVIE,1943,66,thriller
tm117717,Leather Burners,MOVIE,1943,68,western
tm19409,Delightfully Dangerous,MOVIE,1945,92,comedy
tm67133,Renfrew of the Royal Mounted,MOVIE,1937,54,western
tm73466,American Empire,MOVIE,1942,82,western
tm62855,My Dear Secretary,MOVIE,1948,94,drama
tm18966,D-Day: The Normandy Invasion,MOVIE,1945,21,
tm7709,Money Madness,MOVIE,1948,73,thriller
tm84001,Flying Blind,MOVIE,1941,69,drama
tm83465,Sunny,MOVIE,1941,98,
tm148306,Don Q Son of Zorro,MOVIE,1925,111,western
tm74576,The Fatal Hour,MOVIE,1940,68,thriller
tm6734,I Met My Love Again,MOVIE,1938,77,romance
tm35699,The Devil to Pay!,MOVIE,1930,72,romance
tm83561,Pride of the Bowery,MOVIE,1940,68,drama
tm15976,Wildfire,MOVIE,1945,57,western
tm36331,The Silent Enemy,MOVIE,1930,84,drama
tm160639,Bulldog Drummond's Bride,MOVIE,1939,56,thriller
tm63433,Meet the Boy Friend,MOVIE,1937,53,romance
tm8006,Bar 20 Justice,MOVIE,1938,70,western
tm264738,Target for Today,MOVIE,1944,90,war
tm8477,The Great Gabbo,MOVIE,1929,94,drama
tm71842,Sunset on the Desert,MOVIE,1942,63,western
tm118254,Winds of the Wasteland,MOVIE,1936,54,western
